468,123
478,4
478,3
479,3
480,3
481,3
482,4
483,4
483,5
485,6
486,6
486,7
487,7
488,7
488,8
489,8
490,8
490,9
491,9
491,10
492,10
493,10
493,11
494,11
495,12
496,12
497,13
498,13
498,14
499,14
500,15
501,15
502,15
502,16
502,17
503,17
504,17
504,18
505,18
506,18
507,19
507,20
508,21
509,21
510,21
510,22
511,23
512,23
512,24
513,25
514,25
514,26
515,26
516,27
517,27
518,27
518,29
519,29
520,29
520,30
521,30
521,31
522,31
523,31
524,32
525,32
525,33
526,33
527,33
528,33
528,34
529,35
530,36
532,36
533,37
534,37
535,37
535,38
536,38
536,39
537,39
537,40
538,40
539,40
540,40
541,41
542,41
543,41
543,42
545,42
546,42
547,43
548,43
548,44
549,44
550,45
551,45
552,45
553,45
554,46
554,47
555,47
556,47
556,48
557,48
557,49
558,49
559,49
560,49
560,50
561,50
562,50
563,50
564,50
564,52
566,52
567,52
568,52
568,53
569,53
570,53
571,53
571,54
573,54
574,54
575,55
576,55
577,55
578,55
579,56
581,56
581,57
582,57
583,57
584,57
585,57
585,58
585,59
584,59
584,60
583,60
582,61
581,61
580,61
579,61
579,62
577,62
577,63
576,63
575,63
574,63
573,64
572,64
571,64
570,64
569,65
568,65
567,65
566,66
565,66
564,66
563,66
562,66
561,67
560,67
559,67
558,67
557,67
556,67
555,67
554,67
553,67
552,67
551,67
550,67
549,67
548,67
547,68
547,69
548,70
549,70
550,70
551,70
551,71
553,71
554,71
556,71
556,73
558,73
560,73
561,73
562,73
563,74
565,74
567,75
568,75
569,76
570,76
571,76
573,76
575,77
576,77
577,77
580,78
581,78
584,79
585,79
587,79
589,79
590,79
591,80
593,80
595,80
597,80
598,80
600,81
601,81
603,81
605,81
606,81
607,81
608,81
610,81
611,81
612,81
615,82
616,82
618,82
620,82
621,82
622,82
623,82
624,82
625,82
626,82
627,82
628,82
627,82
627,83
626,83
625,83
624,83
623,83
622,83
622,84
621,84
620,84
620,85
619,85
617,86
616,86
615,86
614,86
613,86
613,87
612,87
611,87
610,87
610,88
609,88
608,88
607,88
606,88
605,88
604,88
603,89
602,89
601,89
600,89
599,89
1053,86
1053,85
1054,85
